2021-03-06 12:19:15.488 [main] INFO  com.atguigu.eduservice.EduApplication - Starting EduApplication using Java 1.8.0_282 on LAPTOP-4CMB22DD with PID 56996 (C:\JAVA\IdeaProjects\guli_parent\service\service_edu\target\classes started by alexr in C:\JAVA\IdeaProjects\guli_parent)
2021-03-06 12:19:15.490 [main] INFO  com.atguigu.eduservice.EduApplication - The following profiles are active: dev
2021-03-06 12:19:16.208 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-03-06 12:19:16.210 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-03-06 12:19:16.230 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 8 ms. Found 0 Redis repository interfaces.
2021-03-06 12:19:16.672 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8030 (http)
2021-03-06 12:19:16.680 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8030"]
2021-03-06 12:19:16.681 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-03-06 12:19:16.681 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.43]
2021-03-06 12:19:16.764 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-03-06 12:19:16.765 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1238 ms
2021-03-06 12:19:16.945 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-03-06 12:19:17.061 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2021-03-06 12:19:17.477 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2021-03-06 12:19:17.548 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-03-06 12:19:17.936 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8030"]
2021-03-06 12:19:17.952 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8030 (http) with context path ''
2021-03-06 12:19:17.952 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2021-03-06 12:19:17.965 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2021-03-06 12:19:17.994 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2021-03-06 12:19:18.125 [main] INFO  com.atguigu.eduservice.EduApplication - Started EduApplication in 3.075 seconds (JVM running for 3.762)
